Item,Total Count,Checkpoint,Checked Baggage,Other,Motor Vehicle,Bus Station
Other,41033,5826,34741,338,123,5
Luggage (all types including footlockers),19554,1999,17336,219,0,0
belts,17287,2394,14770,122,1,0
accessories,17287,2394,14770,122,1,0
Clothing - Shoes,17287,2394,14770,122,1,0
Cameras - Digital,11510,1487,9965,58,0,0
Jewelry - Fine,10726,2708,7936,81,1,0
Locks,10366,167,10168,31,0,0
Computer - Laptop,9140,3262,5809,69,0,0
Baggage/Cases/Purses,8488,917,7561,6,1,3
Clothing,7305,1015,6275,8,1,6
Computer & Accessories,6038,2396,3630,10,0,2
Jewelry & Watches,5997,1814,4171,11,1,0
soaps,5820,552,5255,13,0,0
medicines,5820,552,5255,13,0,0
Cosmetics - Perfume,5820,552,5255,13,0,0
toilet articles,5820,552,5255,13,0,0
Travel Accessories,4619,350,4265,2,0,2
Personal Electronics,4507,1670,2828,9,0,0
Eyeglasses - (including contact lenses),4411,1966,2390,55,0,0
-,4206,1157,2811,78,159,1
Currency,4016,1591,2378,46,1,0
Cosmetics & Grooming,3668,413,3255,0,0,0
etc.),3520,246,3271,3,0,0
Cell Phones,2809,1048,1737,24,0,0
Personal Accessories,2695,1482,1208,3,1,1
Cameras,2584,424,2157,3,0,0
etc),2165,259,1899,7,0,0
Jewelry - Costume,1708,207,1498,3,0,0
MP3 Players-(iPods,1679,205,1469,5,0,0
Food & Drink,1609,135,1473,1,0,0
lenses,1548,135,1410,3,0,0
projectors,1548,135,1410,3,0,0
Cameras - Non-electronic (Camera supplies,1548,135,1410,3,0,0
Medicines,1530,222,1302,6,0,0
Sporting Equipment & Supplies,1522,48,1473,1,0,0
DVD/CD Players,1459,297,1144,18,0,0
Medical/Science,1332,361,970,1,0,0
Watches - Expensive more than $100,1129,464,664,1,0,0
Handbags & Purses (leather or fabric),1010,200,810,0,0,0
parachutes,938,33,905,0,0,0
Sporting Equipment & Supplies (footballs,938,33,905,0,0,0
Home Decor,937,149,788,0,0,0
GPS - Global Positioning System,865,60,803,2,0,0
Alcoholic beverages,814,34,779,1,0,0
plastic,785,115,669,1,0,0
Bags - Fabric,778,114,663,1,0,0
etc. (not purses),778,114,663,1,0,0
Household Items,746,85,660,1,0,0
Stereo Items & Accessories,730,111,595,24,0,0
Hunting & Fishing Items,677,48,629,0,0,0
Baby - Strollers,634,485,144,5,0,0
playpen,634,485,144,5,0,0
car seats,634,485,144,5,0,0
Toys (game systems,537,33,504,0,0,0
radio controlled cars,537,33,504,0,0,0
cartridges,537,33,504,0,0,0
Audio/Video,513,124,387,2,0,0
PDA - Personal Data Assistants,492,147,338,7,0,0
Watches - Inexpensive $100 or less,466,127,339,0,0,0
Plasticware,464,65,399,0,0,0
Glassware,464,65,399,0,0,0
Pottery,464,65,399,0,0,0
Dishes,464,65,399,0,0,0
Tools & Home Improvement Supplies,461,30,430,0,0,1
Toys & Games,430,42,388,0,0,0
shears,388,14,374,0,0,0
elecric razors,388,14,374,0,0,0
Barber Supplies - Scissors,388,14,374,0,0,0
Musical Instruments - Other - Over $250,387,31,355,1,0,0
Medical Equipment & Insturments,372,133,239,0,0,0
Automobile Parts & Accessories,342,13,299,1,29,0
Tools - Manual (not in a vehicle),338,14,324,0,0,0
Fish/Game,311,18,293,0,0,0
Magazines & Other,303,8,292,3,0,0
Books,303,8,292,3,0,0
Musical Instruments & Accessories,302,24,278,0,0,0
Kitchen Utensils -Pots,294,26,268,0,0,0
Pans,294,26,268,0,0,0
cast iron,294,26,268,0,0,0
Knives (heavy aluminum,294,26,268,0,0,0
Video Recordings (blank & commercial),251,28,223,0,0,0
Paintings and Pictures (including frames,250,20,229,1,0,0
