Item,Total Count,Approved in Full,Settle,Non-Pursuable,Deny,In pursuit,Non-TSA
Other,41033,11611,6742,3541,18862,21,256
Luggage (all types including footlockers),19554,4676,5197,733,8816,5,127
belts,17287,5032,3237,908,7987,8,115
accessories,17287,5032,3237,908,7987,8,115
Clothing - Shoes,17287,5032,3237,908,7987,8,115
Cameras - Digital,11510,942,3034,577,6864,5,88
Jewelry - Fine,10726,1603,1739,974,6280,17,113
Locks,10366,4159,605,307,5217,1,77
Computer - Laptop,9140,1040,1820,552,5638,10,80
Baggage/Cases/Purses,8488,1553,1006,1461,4468,0,0
Clothing,7305,1501,595,1332,3877,0,0
Computer & Accessories,6038,758,918,1354,3008,0,0
Jewelry & Watches,5997,541,353,1383,3720,0,0
soaps,5820,753,1163,239,3637,0,28
medicines,5820,753,1163,239,3637,0,28
Cosmetics - Perfume,5820,753,1163,239,3637,0,28
toilet articles,5820,753,1163,239,3637,0,28
Travel Accessories,4619,2005,272,508,1834,0,0
Personal Electronics,4507,510,584,1090,2323,0,0
Eyeglasses - (including contact lenses),4411,1371,1077,187,1750,1,25
-,4206,836,272,1584,1514,0,0
Currency,4016,730,322,503,2445,1,15
Cosmetics & Grooming,3668,481,434,632,2121,0,0
etc.),3520,329,497,163,2521,1,9
Cell Phones,2809,510,491,187,1598,2,21
Personal Accessories,2695,538,415,483,1259,0,0
Cameras,2584,194,245,469,1676,0,0
etc),2165,150,298,113,1600,0,4
Jewelry - Costume,1708,116,169,144,1272,0,7
MP3 Players-(iPods,1679,77,241,84,1273,0,4
Food & Drink,1609,356,78,275,900,0,0
lenses,1548,76,231,67,1167,1,6
projectors,1548,76,231,67,1167,1,6
Cameras - Non-electronic (Camera supplies,1548,76,231,67,1167,1,6
Medicines,1530,321,224,116,860,2,7
Sporting Equipment & Supplies,1522,394,247,329,552,0,0
DVD/CD Players,1459,273,343,88,738,1,16
Medical/Science,1332,240,125,327,640,0,0
Watches - Expensive more than $100,1129,114,120,69,819,5,2
Handbags & Purses (leather or fabric),1010,83,117,58,748,2,2
parachutes,938,169,158,42,568,0,1
Sporting Equipment & Supplies (footballs,938,169,158,42,568,0,1
Home Decor,937,263,88,206,380,0,0
GPS - Global Positioning System,865,33,85,59,681,0,7
Alcoholic beverages,814,72,49,38,651,0,4
plastic,785,90,121,57,515,0,2
Bags - Fabric,778,88,120,57,511,0,2
etc. (not purses),778,88,120,57,511,0,2
Household Items,746,205,55,125,361,0,0
Stereo Items & Accessories,730,61,190,45,422,1,11
Hunting & Fishing Items,677,161,34,161,321,0,0
Baby - Strollers,634,365,138,18,112,0,1
playpen,634,365,138,18,112,0,1
car seats,634,365,138,18,112,0,1
Toys (game systems,537,20,60,22,434,0,1
radio controlled cars,537,20,60,22,434,0,1
cartridges,537,20,60,22,434,0,1
Audio/Video,513,83,51,112,267,0,0
PDA - Personal Data Assistants,492,63,151,24,249,0,5
Watches - Inexpensive $100 or less,466,79,54,25,306,0,2
Plasticware,464,117,36,15,294,1,1
Glassware,464,117,36,15,294,1,1
Pottery,464,117,36,15,294,1,1
Dishes,464,117,36,15,294,1,1
Tools & Home Improvement Supplies,461,80,45,105,231,0,0
Toys & Games,430,75,34,57,264,0,0
shears,388,48,56,25,259,0,0
elecric razors,388,48,56,25,259,0,0
Barber Supplies - Scissors,388,48,56,25,259,0,0
Musical Instruments - Other - Over $250,387,85,93,12,193,0,4
Medical Equipment & Insturments,372,110,56,15,189,0,2
Automobile Parts & Accessories,342,31,10,98,203,0,0
Tools - Manual (not in a vehicle),338,32,49,22,235,0,0
Fish/Game,311,99,81,17,113,0,1
Magazines & Other,303,76,21,64,142,0,0
Books,303,76,21,64,142,0,0
Musical Instruments & Accessories,302,58,22,62,160,0,0
Kitchen Utensils -Pots,294,41,28,24,200,0,1
Pans,294,41,28,24,200,0,1
cast iron,294,41,28,24,200,0,1
Knives (heavy aluminum,294,41,28,24,200,0,1
Video Recordings (blank & commercial),251,9,46,12,183,0,1
Paintings and Pictures (including frames,250,41,23,13,173,0,0
photos,250,41,23,13,173,0,0
etchings,250,41,23,13,173,0,0
Dental Equipment and Instruments,231,33,49,11,138,0,0
Photographic Film,225,64,21,26,111,0,3
play dolls etc.),202,25,16,9,152,0,0
Toys - Other (including games,202,25,16,9,152,0,0
toys,202,25,16,9,152,0,0
Batteries - Dry cell only,178,13,23,8,133,0,1
Books - Other (Hardcover non-fiction),162,24,20,7,110,0,1
Automobile Parts,157,15,12,18,112,0,0
Boxes - Jewelry,155,8,11,12,124,0,0
Cigarette,155,8,11,12,124,0,0
Music,155,8,11,12,124,0,0
Professional Equipment,143,18,14,12,99,0,0
Audio - CD's,138,10,19,3,106,0,0
tv's,136,16,23,7,90,0,0
Electrical and Gas Appliances Minor - $200 or less (humidifiers,136,16,23,7,90,0,0
cigerette,135,9,11,3,112,0,0
Lighters - (cigar,135,9,11,3,112,0,0
Books - Fiction,132,17,17,6,92,0,0
magazines,132,17,17,6,92,0,0
paperbacks,132,17,17,6,92,0,0
Ceramics - Animals,131,40,13,5,73,0,0
cookbooks,114,12,15,7,80,0,0
Books - Reference books,114,12,15,7,80,0,0
Video Recordings - Laser Discs,107,7,13,7,80,0,0
Clocks - Inexpensive ($75.00 or less),105,16,11,5,73,0,0
Binoculars,103,8,15,7,73,0,0
Flashlights,101,10,7,4,79,0,1
Bicycles,99,33,26,4,36,0,0
Firearms,99,19,5,3,72,0,0
Knick Knacks (bric-a-bracks),99,18,5,0,76,0,0
cassettes,98,16,16,6,60,0,0
Audio - Other (Phonograph,98,16,16,6,60,0,0
Office Equipment & Supplies,95,20,11,16,48,0,0
