Item_split,Approved in Full,Deny,In pursuit,Non-Pursuable,Non-TSA,Settle
Other,11611,18862,21,3541,256,6742
etc.,6308,12483,8,1230,144,4675
Luggage (all types including footlockers),4676,8816,5,733,127,5197
belts,5032,7987,8,908,115,3237
accessories,5032,7987,8,908,115,3237
Clothing - Shoes,5032,7987,8,908,115,3237
Cameras - Digital,942,6864,5,577,88,3034
Jewelry - Fine,1603,6280,17,974,113,1739
Locks,4159,5217,1,307,77,605
Computer - Laptop,1040,5638,10,552,80,1820
Baggage/Cases/Purses,1553,4468,0,1461,0,1006
Clothing,1501,3877,0,1332,0,595
Computer & Accessories,758,3008,0,1354,0,918
Jewelry & Watches,541,3720,0,1383,0,353
soaps,753,3637,0,239,28,1163
medicines,753,3637,0,239,28,1163
Cosmetics - Perfume,753,3637,0,239,28,1163
toilet articles,753,3637,0,239,28,1163
Travel Accessories,2005,1834,0,508,0,272
Personal Electronics,510,2323,0,1090,0,584
Eyeglasses - (including contact lenses),1371,1750,1,187,25,1077
-,836,1514,0,1584,0,272
Currency,730,2445,1,503,15,322
Cosmetics & Grooming,481,2121,0,632,0,434
etc.),329,2521,1,163,9,497
Cell Phones,510,1598,2,187,21,491
Personal Accessories,538,1259,0,483,0,415
Cameras,194,1676,0,469,0,245
etc),150,1600,0,113,4,298
Jewelry - Costume,116,1272,0,144,7,169
MP3 Players-(iPods,77,1273,0,84,4,241
Food & Drink,356,900,0,275,0,78
projectors,76,1167,1,67,6,231
Cameras - Non-electronic (Camera supplies,76,1167,1,67,6,231
lenses,76,1167,1,67,6,231
Medicines,321,860,2,116,7,224
Sporting Equipment & Supplies,394,552,0,329,0,247
DVD/CD Players,273,738,1,88,16,343
Medical/Science,240,640,0,327,0,125
Watches - Expensive more than $100,114,819,5,69,2,120
Handbags & Purses (leather or fabric),83,748,2,58,2,117
parachutes,169,568,0,42,1,158
Sporting Equipment & Supplies (footballs,169,568,0,42,1,158
Home Decor,263,380,0,206,0,88
GPS - Global Positioning System,33,681,0,59,7,85
Alcoholic beverages,72,651,0,38,4,49
plastic,90,515,0,57,2,121
etc. (not purses),88,511,0,57,2,120
Bags - Fabric,88,511,0,57,2,120
Household Items,205,361,0,125,0,55
Stereo Items & Accessories,61,422,1,45,11,190
Hunting & Fishing Items,161,321,0,161,0,34
Baby - Strollers,365,112,0,18,1,138
car seats,365,112,0,18,1,138
playpen,365,112,0,18,1,138
Toys (game systems,20,434,0,22,1,60
radio controlled cars,20,434,0,22,1,60
cartridges,20,434,0,22,1,60
Audio/Video,83,267,0,112,0,51
PDA - Personal Data Assistants,63,249,0,24,5,151
Watches - Inexpensive $100 or less,79,306,0,25,2,54
Dishes,117,294,1,15,1,36
Plasticware,117,294,1,15,1,36
Pottery,117,294,1,15,1,36
Glassware,117,294,1,15,1,36
Tools & Home Improvement Supplies,80,231,0,105,0,45
Toys & Games,75,264,0,57,0,34
shears,48,259,0,25,0,56
Barber Supplies - Scissors,48,259,0,25,0,56
elecric razors,48,259,0,25,0,56
Musical Instruments - Other - Over $250,85,193,0,12,4,93
Medical Equipment & Insturments,110,189,0,15,2,56
Automobile Parts & Accessories,31,203,0,98,0,10
Tools - Manual (not in a vehicle),32,235,0,22,0,49
Fish/Game,99,113,0,17,1,81
Books,76,142,0,64,0,21
Magazines & Other,76,142,0,64,0,21
Musical Instruments & Accessories,58,160,0,62,0,22
cast iron,41,200,0,24,1,28
Knives (heavy aluminum,41,200,0,24,1,28
Kitchen Utensils -Pots,41,200,0,24,1,28
Pans,41,200,0,24,1,28
Video Recordings (blank & commercial),9,183,0,12,1,46
photos,41,173,0,13,0,23
etchings,41,173,0,13,0,23
Paintings and Pictures (including frames,41,173,0,13,0,23
Dental Equipment and Instruments,33,138,0,11,0,49
Photographic Film,64,111,0,26,3,21
play dolls etc.),25,152,0,9,0,16
Toys - Other (including games,25,152,0,9,0,16
toys,25,152,0,9,0,16
Batteries - Dry cell only,13,133,0,8,1,23
Books - Other (Hardcover non-fiction),24,110,0,7,1,20
Automobile Parts,15,112,0,18,0,12
Music,8,124,0,12,0,11
Cigarette,8,124,0,12,0,11
Boxes - Jewelry,8,124,0,12,0,11
Professional Equipment,18,99,0,12,0,14
Audio - CD's,10,106,0,3,0,19
Electrical and Gas Appliances Minor - $200 or less (humidifiers,16,90,0,7,0,23
tv's,16,90,0,7,0,23
Lighters - (cigar,9,112,0,3,0,11
cigerette,9,112,0,3,0,11
Books - Fiction,17,92,0,6,0,17
paperbacks,17,92,0,6,0,17
magazines,17,92,0,6,0,17
Ceramics - Animals,40,73,0,5,0,13
cookbooks,12,80,0,7,0,15
Books - Reference books,12,80,0,7,0,15
Video Recordings - Laser Discs,7,80,0,7,0,13
Clocks - Inexpensive ($75.00 or less),16,73,0,5,0,11
Binoculars,8,73,0,7,0,15
Flashlights,10,79,0,4,1,7
Knick Knacks (bric-a-bracks),18,76,0,0,0,5
Firearms,19,72,0,3,0,5
Bicycles,33,36,0,4,0,26
cassettes,16,60,0,6,0,16
Audio - Other (Phonograph,16,60,0,6,0,16
Office Equipment & Supplies,20,48,0,16,0,11
Tools - Power (including air tools,12,67,0,8,0,5
not in a vehicle),12,67,0,8,0,5
Mirrors (including frames),10,61,0,0,1,10
Candles - Decorative and other,25,45,0,3,0,6
Brushes - Hair,15,51,0,1,0,11
Clothes,15,51,0,1,0,11
Game Equipment (poker chips,7,58,0,1,1,8
chess etc.),7,58,0,1,1,8
checker sets,7,58,0,1,1,8
Razors (other than electric),6,46,0,5,0,14
Scissors,6,45,0,7,0,12
Shears (other than electric),6,45,0,7,0,12
Hearing Aids,8,42,0,9,0,11
Briefcases,16,35,0,3,0,7
Outdoor Items,8,33,0,8,0,7
fountain pens,6,34,0,6,0,8
Desk and Writing Equipment - pen and pencil sets,6,34,0,6,0,8
Lamps (including sun lamps),9,36,0,4,0,5
Musical Instruments - Other - Over $100 - $250,8,35,0,2,1,6
Crafting & Hobby,5,22,0,10,0,5
Musical Instruments - Other - inexpensive $100 or less,7,28,0,1,0,5
Camping Equipment & Supplies,4,30,0,4,0,1
Books - Bibles & Bound classics,6,25,1,1,0,5
Umbrellas,10,24,0,2,0,0
Stationery,3,21,0,3,0,4
Bedding - Linens and bedspreads,5,20,0,3,0,3
Tool Chests & Tool Boxes (not in a vehicle)_,1,24,0,1,0,4
Bedding - Other pillows,7,21,0,0,0,1
Clocks - Expensive ($75.00 or more),3,20,0,2,0,3
Cards - Greeting,3,17,0,5,0,3
Sewing Machines (other than electric),4,18,0,1,0,3
Lighting Supplies (globe domes,7,14,0,1,0,4
electric candlesticks,7,14,0,1,0,4
candelabra,7,14,0,1,0,4
Telephones,1,19,0,2,0,3
Calculators - Adding machines,3,17,0,2,0,3
Telecommunication for the Deaf,1,19,0,2,0,3
Answering Machines,1,19,0,2,0,3
Office Furnishings,0,22,0,1,0,2
hand calculators,3,17,0,2,0,3
Birthday,8,12,0,1,0,3
Decorations - Christmas,8,12,0,1,0,3
Goldplate,1,18,0,1,0,3
Pewter,1,18,0,1,0,3
