,item type,item count
0,Luggage (all types including footlockers),19554
1,belts,17287
2,accessories,17287
3,Clothing - Shoes,17287
4,Cameras - Digital,11510
5,Jewelry - Fine,10726
6,Locks,10366
7,Computer - Laptop,9140
8,Baggage/Cases/Purses,8488
9,Clothing,7305
10,Computer & Accessories,6038
11,Jewelry & Watches,5997
12,soaps,5820
13,medicines,5820
14,Cosmetics - Perfume,5820
15,toilet articles,5820
16,Travel Accessories,4619
17,Personal Electronics,4507
18,Eyeglasses - (including contact lenses),4411
19,Currency,4016
20,Cosmetics & Grooming,3668
21,etc.),3520
22,Cell Phones,2809
23,Personal Accessories,2695
24,Cameras,2584
25,etc),2165
26,Jewelry - Costume,1708
27,MP3 Players-(iPods,1679
28,Food & Drink,1609
29,lenses,1548
30,Cameras - Non-electronic (Camera supplies,1548
31,projectors,1548
32,Medicines,1530
33,Sporting Equipment & Supplies,1522
34,DVD/CD Players,1459
35,Medical/Science,1332
36,Watches - Expensive more than $100,1129
37,Handbags & Purses (leather or fabric),1010
38,parachutes,938
39,Sporting Equipment & Supplies (footballs,938
40,Home Decor,937
41,GPS - Global Positioning System,865
42,Alcoholic beverages,814
43,plastic,785
44,etc. (not purses),778
45,Bags - Fabric,778
46,Household Items,746
47,Stereo Items & Accessories,730
48,Hunting & Fishing Items,677
49,playpen,634
50,car seats,634
51,Baby - Strollers,634
52,radio controlled cars,537
53,Toys (game systems,537
54,cartridges,537
55,Audio/Video,513
56,PDA - Personal Data Assistants,492
57,Watches - Inexpensive $100 or less,466
58,Dishes,464
59,Glassware,464
60,Pottery,464
61,Plasticware,464
62,Tools & Home Improvement Supplies,461
63,Toys & Games,430
64,elecric razors,388
65,shears,388
66,Barber Supplies - Scissors,388
67,Musical Instruments - Other - Over $250,387
68,Medical Equipment & Insturments,372
69,Automobile Parts & Accessories,342
70,Tools - Manual (not in a vehicle),338
71,Fish/Game,311
72,Books,303
73,Magazines & Other,303
74,Musical Instruments & Accessories,302
75,Kitchen Utensils -Pots,294
76,Pans,294
77,cast iron,294
78,Knives (heavy aluminum,294
79,Video Recordings (blank & commercial),251
80,Paintings and Pictures (including frames,250
81,photos,250
82,etchings,250
83,Dental Equipment and Instruments,231
84,Photographic Film,225
85,toys,202
86,Toys - Other (including games,202
87,play dolls etc.),202
88,Batteries - Dry cell only,178
89,Books - Other (Hardcover non-fiction),162
90,Automobile Parts,157
91,Cigarette,155
92,Music,155
93,Boxes - Jewelry,155
94,Professional Equipment,143
95,Audio - CD's,138
96,tv's,136
97,Electrical and Gas Appliances Minor - $200 or less (humidifiers,136
98,cigerette,135
99,Lighters - (cigar,135
100,Books - Fiction,132
101,paperbacks,132
102,magazines,132
103,Ceramics - Animals,131
104,Books - Reference books,114
105,cookbooks,114
106,Video Recordings - Laser Discs,107
107,Clocks - Inexpensive ($75.00 or less),105
108,Binoculars,103
109,Flashlights,101
110,Firearms,99
111,Knick Knacks (bric-a-bracks),99
112,Bicycles,99
113,cassettes,98
114,Audio - Other (Phonograph,98
115,Office Equipment & Supplies,95
116,Tools - Power (including air tools,92
117,not in a vehicle),92
118,Mirrors (including frames),82
119,Candles - Decorative and other,79
120,Brushes - Hair,78
121,Clothes,78
122,Game Equipment (poker chips,75
123,chess etc.),75
124,checker sets,75
125,Razors (other than electric),71
126,Scissors,70
127,Shears (other than electric),70
128,Hearing Aids,70
129,Briefcases,61
130,Outdoor Items,56
131,fountain pens,54
132,Desk and Writing Equipment - pen and pencil sets,54
133,Lamps (including sun lamps),54
134,Musical Instruments - Other - Over $100 - $250,52
135,Crafting & Hobby,42
136,Musical Instruments - Other - inexpensive $100 or less,41
137,Camping Equipment & Supplies,39
138,Books - Bibles & Bound classics,38
139,Umbrellas,36
140,Bedding - Linens and bedspreads,31
141,Stationery,31
142,Tool Chests & Tool Boxes (not in a vehicle)_,30
143,Bedding - Other pillows,29
144,Clocks - Expensive ($75.00 or more),28
145,Cards - Greeting,28
146,Sewing Machines (other than electric),26
147,electric candlesticks,26
148,candelabra,26
149,Lighting Supplies (globe domes,26
150,Telecommunication for the Deaf,25
151,hand calculators,25
152,Calculators - Adding machines,25
153,Telephones,25
154,Office Furnishings,25
155,Answering Machines,25
156,Birthday,24
157,Decorations - Christmas,24
158,Bronzeware,23
159,etc) ,23
160,Pewter,23
161,Copperware,23
162,Goldplate,23
163,Stainless Steel,23
164,Silverplate,23
165,Musical Instruments (pianos,22
166,player pianos,22
167,organs,22
168,& harps),20
169,Lampshade,19
170,Comforters,18
171,Linens - Quilts,18
172,Compasses,18
173,Posters - framed or unframed,18
174,Tool Chests & Tool Boxes (not in a vehicle)_ ,17
175,collar,17
176,cage,17
177,kennel,17
178,Pet Supplies (food/water dish,17
179,leash,17
180,Dolls - Decorator,17
181,Sunglasses,16
182,Cards - Playing,16
183,iphone,15
184,Cell Phones (smartphone type-blackberry,15
185,Computer peripherals,14
186,Garden Equipment - (wheelbarrows,11
187,Camping Equipment & Supplies ,11
188,roller,11
189,Stuffed Animals,11
190,Food items (jams,10
191,Baskets - Wicker or plastic,10
192,candy,10
193,jellys,10
194,pails,9
195,ironing boards,9
196,brooms,9
197,Microscopes & Telescopes - Expensive More than $100,9
